trat,LOCAL_YEAR,sev,yld
1,1_2024,80,4765.57
1,1_2024,70,4657.17
1,1_2024,70,4238.45
1,1_2024,75,4901.41
2,1_2024,40,5129.73
2,1_2024,50,4540.69
2,1_2024,38,4989.21
2,1_2024,45,5295.26
3,1_2024,33,5235.37
3,1_2024,38,5173.68
3,1_2024,38,5119.45
3,1_2024,30,5281.11
4,1_2024,35,5486.9
4,1_2024,28,5222.59
4,1_2024,30,5496.47
4,1_2024,33,5348.85
5,1_2024,25,5300.55
5,1_2024,25,5192.51
5,1_2024,30,5177.7
5,1_2024,28,5641.94
6,1_2024,28,5368.53
6,1_2024,23,5206.52
6,1_2024,28,4983.22
6,1_2024,25,5343.33
7,1_2024,35,5216.98
7,1_2024,40,4558.05
7,1_2024,40,5171.29
7,1_2024,38,5353.45
8,1_2024,30,5513.45
8,1_2024,30,5053.36
8,1_2024,32,5063.33
8,1_2024,35,5412.93
9,1_2024,55,5043.45
9,1_2024,50,5061.61
9,1_2024,55,4263.58
9,1_2024,55,5229.89
10,1_2024,28,5392.07
10,1_2024,30,4631.38
10,1_2024,30,5056.55
10,1_2024,30,5527.01
11,1_2024,38,5438.36
11,1_2024,35,4930.47
11,1_2024,33,5246.67
11,1_2024,35,5364.25
12,1_2024,35,5351.36
12,1_2024,40,5054.31
12,1_2024,30,5304.91
12,1_2024,45,5405.17
13,1_2024,25,5240.69
13,1_2024,30,5356.59
13,1_2024,25,5359.66
13,1_2024,25,5559.11
14,1_2024,26,5380.24
14,1_2024,28,5295.26
14,1_2024,23,5382.04
14,1_2024,20,5372.59
15,1_2024,28,5371.82
15,1_2024,25,4545.37
15,1_2024,25,5332.95
15,1_2024,25,4947.16
1,2_2024,95,3752.958705832268
1,2_2024,95,4378.033205619412
1,2_2024,75,4430.727969348659
1,2_2024,80,4645.517241379311
2,2_2024,7.5,4569.740315027671
2,2_2024,15,4894.508301404853
2,2_2024,35,5171.119625372498
2,2_2024,20,4590.3448275862065
3,2_2024,5,4980.842911877396
3,2_2024,7.5,4896.483610046829
3,2_2024,35,5184.844614729672
3,2_2024,15,4681.481481481481
4,2_2024,10,4815.312899106002
4,2_2024,7.5,4610.166028097063
4,2_2024,15,5740.208599404001
4,2_2024,15,4761.0217113665385
5,2_2024,15,4361.813537675605
5,2_2024,15,4482.924648786718
5,2_2024,20,4813.963388676032
5,2_2024,15,4849.974457215836
6,2_2024,5,4081.6347381864625
6,2_2024,20,4370.221370796083
6,2_2024,15,4934.44018731375
6,2_2024,20,4939.344401873138
7,2_2024,5,4576.487867177523
7,2_2024,15,4633.333333333333
7,2_2024,12,5740.740740740741
7,2_2024,15,5519.106002554277
8,2_2024,10,4842.486164325244
8,2_2024,20,4840.74074074074
8,2_2024,10,4872.298850574712
8,2_2024,15,4603.150276713494
9,2_2024,60,3632.69902085994
9,2_2024,80,4244.572158365261
9,2_2024,75,5228.403575989782
9,2_2024,50,4894.4444444444425
10,2_2024,45,5280.527884206045
10,2_2024,55,4818.3482332907615
10,2_2024,45,5169.8595146871
10,2_2024,50,4962.962962962963
11,2_2024,45,4503.192848020434
11,2_2024,35,4538.143891017453
11,2_2024,50,5431.417624521072
11,2_2024,50,5734.563644103872
12,2_2024,60,4459.770114942528
12,2_2024,50,4414.11238825032
12,2_2024,75,5182.256279267773
12,2_2024,60,4679.799914857386
13,2_2024,52.5,4488.33546189868
13,2_2024,50,5179.054916985952
13,2_2024,75,4925.500212856535
13,2_2024,60,4933.844189016602
14,2_2024,52.5,4518.952745849298
14,2_2024,65,4533.844189016603
14,2_2024,45,5073.83141762452
14,2_2024,40,4629.544487015751
15,2_2024,35,4358.995317156236
15,2_2024,30,4411.025968497233
15,2_2024,40,5038.3908045977005
15,2_2024,45,4859.259259259259
1,3_2024,35,4992.931034482758
1,3_2024,38,4254
1,3_2024,37,5040.88122605364
1,3_2024,35,4854
2,3_2024,14,5273.045977011494
2,3_2024,12,5122.289272030651
2,3_2024,11,5577.854406130267
2,3_2024,12,5594.85632183908
3,3_2024,17,4866.206896551724
3,3_2024,14,4475.862068965517
3,3_2024,11,5288.620689655172
3,3_2024,14,5241.340996168583
4,3_2024,14,5069.252873563219
4,3_2024,10,4919.760536398467
4,3_2024,11,4800
4,3_2024,12,4734.109195402299
5,3_2024,15,4740
5,3_2024,13,5082.758620689656
5,3_2024,12,5069.252873563219
5,3_2024,13,5413.026819923372
6,3_2024,16,4501.293103448275
6,3_2024,12,4998.591954022989
6,3_2024,11,5434.521072796934
6,3_2024,13,5797.385057471263
7,3_2024,14,4984.482758620689
7,3_2024,11,4958.9655172413795
7,3_2024,14,5540.057471264368
7,3_2024,13,5859.463601532567
8,3_2024,14,4922.471264367817
8,3_2024,10,5311.532567049809
8,3_2024,13,5111.637931034483
8,3_2024,12,5082.758620689656
9,3_2024,16,5156.666666666667
9,3_2024,11,5360.919540229886
9,3_2024,16,5105.862068965517
9,3_2024,14,5279.051724137932
10,3_2024,15,4597.068965517242
10,3_2024,13,5954.3295019157085
10,3_2024,11,5385.287356321839
10,3_2024,13,4790.172413793103
11,3_2024,16,5774.789272030652
11,3_2024,14,4811.159003831418
11,3_2024,13,5168.735632183908
11,3_2024,14,5375.450191570881
12,3_2024,14,5221.0344827586205
12,3_2024,13,6191.149425287356
12,3_2024,12,5438.400383141762
12,3_2024,13,4756.379310344828
13,3_2024,12,4866.494252873564
13,3_2024,13,5803.96551724138
13,3_2024,14,5213.122605363985
13,3_2024,13,5097.394636015325
14,3_2024,11,5609.6551724137935
14,3_2024,12,5181.360153256704
14,3_2024,12,5130.727969348659
14,3_2024,11,5277.701149425287
15,3_2024,12,5489.147509578544
15,3_2024,13,5237.931034482759
15,3_2024,12,5621.83908045977
15,3_2024,12,4995.785440613027
1,4_2024,63.5,4062.5431034482754
1,4_2024,65.25,4199.597701149425
1,4_2024,67.5,4164.985632183908
1,4_2024,66.45,4046.609195402299
2,4_2024,46.46875,4573.333333333333
2,4_2024,52.21875,4915.589080459771
2,4_2024,48.625,4385.689655172414
2,4_2024,54.625,4858.002873563219
3,4_2024,48.2375,4895.459770114942
3,4_2024,44.125,4922.8448275862065
3,4_2024,46.5,4883.477011494253
3,4_2024,47.64875,5096.724137931034
4,4_2024,49.375,4824.418103448275
4,4_2024,54.75,4659.181034482758
4,4_2024,51.4375,4927.1551724137935
4,4_2024,52.09375,4672.5718390804595
5,4_2024,49.59375,4040.76867816092
5,4_2024,53.1875,4526.637931034483
5,4_2024,53.5,4871.839080459771
5,4_2024,53.6875,4738.649425287356
6,4_2024,53.8125,4631.5301724137935
6,4_2024,54.96875,4577.456896551725
6,4_2024,55.0625,4296.8031609195405
6,4_2024,54.375,4492.995689655173
7,4_2024,56.40625,4270.833333333333
7,4_2024,57.8125,4372.593390804598
7,4_2024,54.875,4475.086206896552
7,4_2024,57.28125,4643.5344827586205
8,4_2024,54.5625,4847.5
8,4_2024,51.0625,4534.051724137931
8,4_2024,50.53125,4492.995689655173
8,4_2024,55.0625,4590.445402298851
9,4_2024,53.9375,4387.370689655173
9,4_2024,57.5,4546.10632183908
9,4_2024,54.5,4489.597701149425
9,4_2024,58.275,4470.675287356322
10,4_2024,49.0625,5174.166666666666
10,4_2024,51,4460.186781609195
10,4_2024,53.875,5077.241379310344
10,4_2024,48.5625,5149.7844827586205
11,4_2024,48.65625,5068.383620689656
11,4_2024,53.09375,4631.989942528736
11,4_2024,47,5050.833333333333
11,4_2024,48.5,5165.9698275862065
12,4_2024,52.4375,4789.224137931034
12,4_2024,54.71875,4754.0948275862065
12,4_2024,53,4782.040229885058
12,4_2024,53.84375,4983.620689655173
13,4_2024,45.1875,5199.137931034483
13,4_2024,43.25,5160.775862068965
13,4_2024,47,5167.514367816091
13,4_2024,44.1,5111.810344827586
14,4_2024,47.15625,4719.181034482758
14,4_2024,45.1875,5310.050287356322
14,4_2024,47.71875,5267.600574712645
14,4_2024,47.1875,4700.323275862069
15,4_2024,53.46875,4951.3218390804595
15,4_2024,54.0625,4580.0718390804595
15,4_2024,53.8125,4691.25
15,4_2024,54.40625,4615.086206896552
1,5_2024,38,2907.7088122605364
1,5_2024,35,2751.7241379310344
1,5_2024,42,2768.1226053639843
1,5_2024,37,3003.111111111111
2,5_2024,5,3938.114942528736
2,5_2024,6,4120.183908045977
2,5_2024,9,3677.6551724137935
2,5_2024,9,3698.3141762452105
3,5_2024,5,4336.341762452107
3,5_2024,4,4248
3,5_2024,5,4193.777777777778
3,5_2024,6,4281.578544061304
4,5_2024,5,4480
4,5_2024,2,4643.724137931034
4,5_2024,1,4171.908045977011
4,5_2024,1,4220.229885057472
5,5_2024,3,3798.620689655173
5,5_2024,2,4055.52490421456
5,5_2024,5,3537.164750957855
5,5_2024,4,3886.206896551724
6,5_2024,4,4190.16091954023
6,5_2024,4,4236.47509578544
6,5_2024,4,4114.038314176245
6,5_2024,4,3804.352490421455
7,5_2024,5,4145.057471264367
7,5_2024,6,3943.295019157088
7,5_2024,5,4043.831417624521
7,5_2024,4,4211.862068965517
8,5_2024,5,3563.6781609195405
8,5_2024,5,4190.988505747127
8,5_2024,6,4042.850574712643
8,5_2024,5,3762.8352490421457
9,5_2024,12,3520.2452107279687
9,5_2024,12,3997.931034482758
9,5_2024,12,3873.103448275862
9,5_2024,12,3493.808429118774
10,5_2024,5,3632.229885057472
10,5_2024,4,4287.203065134099
10,5_2024,6,4099.172413793104
10,5_2024,4,4384
11,5_2024,5,4141.747126436782
11,5_2024,4,4494.712643678161
11,5_2024,5,4393.425287356322
11,5_2024,6,3934.4827586206898
12,5_2024,5,4240.153256704981
12,5_2024,6,4140.689655172414
12,5_2024,5,4157.624521072797
12,5_2024,6,4407.295019157088
13,5_2024,5,4418.681992337165
13,5_2024,1,4078.9118773946366
13,5_2024,2,4100.229885057472
13,5_2024,2,4423.570881226054
14,5_2024,2,4394.789272030651
14,5_2024,2,4158.16091954023
14,5_2024,1,4346.3601532567045
14,5_2024,3,4308.842911877395
15,5_2024,3,4151.908045977011
15,5_2024,3,4331.417624521073
15,5_2024,4,4201.241379310345
15,5_2024,2,4192.459770114942
1,6_2024,20,3258.2
1,6_2024,23,3241.5
1,6_2024,20,3373.3
1,6_2024,19,3355.7
2,6_2024,4.5,3353.7
2,6_2024,4,3398.3
2,6_2024,4.3,3418.6
2,6_2024,4.3,3292
3,6_2024,2.8,3517
3,6_2024,3,3523.9
3,6_2024,3,3712.3
3,6_2024,3,3595.3
4,6_2024,4.2,3591.8
4,6_2024,3.2,3496.6
4,6_2024,4.2,3573.6
4,6_2024,4.2,3569.7
5,6_2024,5.8,3266
5,6_2024,4.5,3358.1
5,6_2024,4.7,3227.5
5,6_2024,4.7,3461.8
6,6_2024,3.8,3468.3
6,6_2024,3.8,3501.7
6,6_2024,2.8,3798.8
6,6_2024,2.8,3596.7
7,6_2024,2.5,3553.4
7,6_2024,2.8,3381.3
7,6_2024,3,3493.9
7,6_2024,3,3507.7
8,6_2024,5,3760.5
8,6_2024,5.5,3816
8,6_2024,5.5,3647.8
8,6_2024,5.5,3725
9,6_2024,7,3712.3
9,6_2024,7,3788.8
9,6_2024,5.5,3882.3
9,6_2024,7,3477.7
10,6_2024,4.5,3478.5
10,6_2024,5.5,4581.8
10,6_2024,5,3942.6
10,6_2024,4.5,3440.6
11,6_2024,5.5,3732
11,6_2024,5.5,4767.9
11,6_2024,5.5,3761.8
11,6_2024,5.5,3763.3
12,6_2024,3.3,3717.8
12,6_2024,3.3,3965.4
12,6_2024,2.8,3644.4
12,6_2024,2.8,3771.8
13,6_2024,4.5,3838.6
13,6_2024,3.5,4217.8
13,6_2024,4,4025.4
13,6_2024,4,4016.1
14,6_2024,4.2,3525.9
14,6_2024,4.7,4661.4
14,6_2024,4.5,3561.4
14,6_2024,4,3909.6
15,6_2024,3,3295
15,6_2024,4,3880
15,6_2024,4.3,3941.8
15,6_2024,4.3,3946.3
1,9_2024,12,2664.661333333333
1,9_2024,8,3063.7823999999996
1,9_2024,6,2859.8783999999996
1,9_2024,8,2739.4559999999997
2,9_2024,0,2886.2464
2,9_2024,2,3206.2464000000004
2,9_2024,2,3177.5744
2,9_2024,0,3082.513066666667
3,9_2024,0,3446.9717333333338
3,9_2024,0,3478.528
3,9_2024,2,3375.2576
3,9_2024,0,2968.704
4,9_2024,5,3137.3055999999997
4,9_2024,2,3162.862933333333
4,9_2024,2,3214.5919999999996
4,9_2024,0,3166.5578666666665
5,9_2024,0,3049.983999999999
5,9_2024,0,2920.601599999999
5,9_2024,0,3013.2479999999996
5,9_2024,0,3002.88
6,9_2024,0,3137.2799999999997
6,9_2024,1,2860.9535999999994
6,9_2024,0,2754.2357333333334
6,9_2024,1,2946.7135999999996
7,9_2024,0,3365.794133333333
7,9_2024,0,3298.1930666666663
7,9_2024,0,2898.158933333333
7,9_2024,1,2828.6719999999996
8,9_2024,0,3328.9813333333327
8,9_2024,0,3182.1823999999997
8,9_2024,0,3078.801066666667
8,9_2024,0,3254.5791999999997
9,9_2024,3,3042.8160000000003
9,9_2024,5,3137.2799999999997
9,9_2024,1,3140.130133333333
9,9_2024,0,3159.2703999999994
10,9_2024,0,2988.7488
10,9_2024,2,3776.4608
10,9_2024,0,3005.952
10,9_2024,2,3229.0133333333333
11,9_2024,0,2716.3135999999995
11,9_2024,2,3232.5888
11,9_2024,2,3229.4229333333333
11,9_2024,0,3067.0848000000005
12,9_2024,4,3181.3375999999994
12,9_2024,5,3037.2351999999996
12,9_2024,0,2946.7135999999996
12,9_2024,0,3067.750399999999
13,9_2024,5,3278.9503999999997
13,9_2024,0,3652.676266666667
13,9_2024,0,3203.3791999999994
13,9_2024,2,3009.1775999999995
14,9_2024,5,2991.889066666666
14,9_2024,5,3038.6858666666667
14,9_2024,0,3251.0293333333334
14,9_2024,1,3038.4639999999995
15,9_2024,2,3117.806933333333
15,9_2024,2,3569.3055999999992
15,9_2024,0,3177.5744
15,9_2024,0,3281.1007999999997
1,10_2024,57.5,2516.260536398467
1,10_2024,57.5,2569.1954022988507
1,10_2024,57.5,2540.2758620689656
1,10_2024,59,2464.5057471264363
2,10_2024,32.5,2911.289910600256
2,10_2024,32.5,2771.3920817369094
2,10_2024,32.5,2878.4163473818644
2,10_2024,32.5,2932.056194125159
3,10_2024,26,3900.791826309068
3,10_2024,26,3938.058748403575
3,10_2024,26,3711.1025968497233
3,10_2024,26,3685.449127288208
4,10_2024,30,4096.934865900384
4,10_2024,30,4293.23116219668
4,10_2024,30,3918.603661132397
4,10_2024,30,4280.459770114943
5,10_2024,25,3736.44103873989
5,10_2024,25,3782.120051085568
5,10_2024,25,3848.582375478927
5,10_2024,25,3985.185185185185
6,10_2024,26,3057.488292890592
6,10_2024,26,3077.939548744147
6,10_2024,26,3068.939974457215
6,10_2024,26,3296.704980842912
7,10_2024,30,3248.1481481481483
7,10_2024,30,3173.690932311622
7,10_2024,30,3192.234993614304
7,10_2024,30,3172.6351638995316
8,10_2024,26,4463.277990634313
8,10_2024,26,4337.590464027246
8,10_2024,26,4493.137505321412
8,10_2024,26,4255.240527884206
9,10_2024,51,3191.281396338867
9,10_2024,51,3094.4231587909753
9,10_2024,51,2986.4623243933593
9,10_2024,51,2967.0498084291194
10,10_2024,45,4227.2030651341
10,10_2024,45,4121.787994891443
10,10_2024,45,4182.835249042146
10,10_2024,45,4188.3354618986805
11,10_2024,39,4190.344827586207
11,10_2024,39,3930.557684120902
11,10_2024,39,3902.222222222222
11,10_2024,39,4028.071519795657
12,10_2024,41.5,4430.549169859515
12,10_2024,41.5,4460.791826309067
12,10_2024,41.5,4433.128991060024
12,10_2024,41.5,4255.768412090251
13,10_2024,36,4040.153256704981
13,10_2024,36,4023.75478927203
13,10_2024,36,3963.473818646232
13,10_2024,36,3986.036611323968
14,10_2024,45,3967.9182630906766
14,10_2024,45,3784.8275862068967
14,10_2024,45,3774.082588335462
14,10_2024,45,3791.230310770541
15,10_2024,32.5,4305.900383141761
15,10_2024,32.5,4203.925074499787
15,10_2024,32.5,4167.816091954023
15,10_2024,32.5,4074.806300553427
1,11_2024,40,2946.360153256705
1,11_2024,40,3034.1344479275517
1,11_2024,40,2868.129571577847
1,11_2024,40,3110.247300592128
2,11_2024,18,3486.9801462904907
2,11_2024,21,3429.968652037617
2,11_2024,20,3347.428306048995
2,11_2024,22,3457.136886102403
3,11_2024,14,4051.224892604202
3,11_2024,13.5,3559.6238244514107
3,11_2024,14,3579.867641936607
3,11_2024,13.4,3756.7398119122254
4,11_2024,10,3406.4228491814692
4,11_2024,8,3525.331475676303
4,11_2024,10,3903.448275862069
4,11_2024,10,4052.9246487867176
5,11_2024,9,3534.6685243236966
5,11_2024,9,3482.0202020202023
5,11_2024,8,3697.573435504469
5,11_2024,10,3670.038314176245
6,11_2024,13,3747.832346453036
6,11_2024,12.5,3445.377917102055
6,11_2024,13,3497.8195750609543
6,11_2024,12,3990.2101474515266
7,11_2024,13,3755.5044699872287
7,11_2024,19,3533.0779054916984
7,11_2024,15,3613.923139440381
7,11_2024,19,3818.50690816208
8,11_2024,12.5,3370.1567398119123
8,11_2024,12,3424.1890166028093
8,11_2024,12,3476.73516776965
8,11_2024,12,3888.642749332405
9,11_2024,22,2899.0456287008014
9,11_2024,20,3170.1497735980493
9,11_2024,21,3252.3534192499706
9,11_2024,21,3776.835016835016
10,11_2024,13,3359.9071171484966
10,11_2024,13,3450.017415534657
10,11_2024,15,3371.0855683269474
10,11_2024,17,3406.0606060606056
11,11_2024,17,3548.8122605363988
11,11_2024,16.9,3425.635667014977
11,11_2024,15.1,3555.694879832811
11,11_2024,16,3218.390804597701
12,11_2024,25,3435.783118541739
12,11_2024,23,3327.723209102519
12,11_2024,22,3130.895158481366
12,11_2024,25,3737.7777777777774
13,11_2024,16,3801.56043190526
13,11_2024,17,3288.3594566353186
13,11_2024,17,3772.827121792639
13,11_2024,23,3752.838732149077
14,11_2024,11.8,3784.0473702542663
14,11_2024,11.8,3961.123882503193
14,11_2024,11.8,3701.507024265644
14,11_2024,12.5,3726.0606060606056
15,11_2024,12,4004.904214559386
15,11_2024,10,3788.0250783699057
15,11_2024,12,3802.49390456287
15,11_2024,10,4068.1945895739
1,14_2024,20,2916.465517241379
1,14_2024,25,3050.620689655172
1,14_2024,22,2887.66091954023
1,14_2024,20,2802.3908045977014
2,14_2024,6.5,3325.534482758621
2,14_2024,7,2958.17816091954
2,14_2024,6,3103.548850574713
2,14_2024,7.5,2919.925287356322
3,14_2024,4.5,3283.5316091954023
3,14_2024,6,3611.034482758621
3,14_2024,5,3213.0603448275865
3,14_2024,5.2,3465.201149425287
4,14_2024,3,3232.609195402299
4,14_2024,2.5,3396.2068965517246
4,14_2024,2,3337.7586206896553
4,14_2024,2.8,3540.5373563218395
5,14_2024,4,3624.2270114942535
5,14_2024,3.5,3322.0143678160925
5,14_2024,3.2,3212.752873563219
5,14_2024,3,3584.4827586206898
6,14_2024,6,2994.885057471264
6,14_2024,5.7,3373.1580459770116
6,14_2024,6.2,3168.583333333334
6,14_2024,5,3061.646551724138
7,14_2024,8,3398.7298850574716
7,14_2024,6.5,3230.6896551724135
7,14_2024,7,3034.2586206896553
7,14_2024,6,2979.3103448275865
8,14_2024,5.2,2982.9885057471265
8,14_2024,4.5,3009.67816091954
8,14_2024,4,3517.620689655172
8,14_2024,4.8,3418.4741379310344
9,14_2024,8.5,2848.117816091954
9,14_2024,8,3188.8218390804595
9,14_2024,9,3040.85775862069
9,14_2024,7.8,3010.057471264368
10,14_2024,3.2,3566.129310344828
10,14_2024,4.2,3528.977011494253
10,14_2024,3.8,3572.3448275862065
10,14_2024,4,3661.103448275862
11,14_2024,5,3336.6954022988507
11,14_2024,4.5,3396.5804597701144
11,14_2024,3.8,3088.6494252873563
11,14_2024,4,3159.2327586206893
12,14_2024,5.8,3292.956896551724
12,14_2024,6,3653.908045977011
12,14_2024,7,3420.1724137931033
12,14_2024,6.5,3558.5057471264367
13,14_2024,6,3711.5517241379303
13,14_2024,5.2,3485.735632183908
13,14_2024,5,3056.5517241379307
13,14_2024,5.8,3413.545977011495
14,14_2024,3,2971.701149425287
14,14_2024,2.5,3220.413793103448
14,14_2024,3.2,2971.6436781609195
14,14_2024,2.8,3422.5574712643675
15,14_2024,4,3597.7729885057465
15,14_2024,3.5,3507.887931034483
15,14_2024,3,3327.919540229885
15,14_2024,3.2,3388.7241379310344
