LOCAL_YEAR,trial,year,local,trat,sev,yld
4_2021,1,2021,4,1,28,4208.081736909323
4_2021,1,2021,4,1,28,4220.3763303533415
4_2021,1,2021,4,1,29,4252.001702852277
4_2021,1,2021,4,1,27,4433.079608343976
4_2021,1,2021,4,2,12,4073.222647935292
4_2021,1,2021,4,2,13,4295.921668795232
4_2021,1,2021,4,2,13,4104.541507024266
4_2021,1,2021,4,2,14,4405.026819923372
4_2021,1,2021,4,3,9,4210.734780757769
4_2021,1,2021,4,3,9.5,4515.402298850575
4_2021,1,2021,4,3,9,4236.696466581524
4_2021,1,2021,4,3,10,4318.3754789272025
4_2021,1,2021,4,4,8,4586.911877394636
4_2021,1,2021,4,4,8.5,4224.745849297573
4_2021,1,2021,4,4,9,4017.232865048957
4_2021,1,2021,4,4,8,4394.782460621541
4_2021,1,2021,4,5,11,4512.967220093657
4_2021,1,2021,4,5,10,4120.241805023414
4_2021,1,2021,4,5,11,4237.094934014474
4_2021,1,2021,4,5,10.5,4236.362707535121
4_2021,1,2021,4,6,8.5,4162.213707960835
4_2021,1,2021,4,6,9,4719.989782886334
4_2021,1,2021,4,6,9.5,4127.073648361004
4_2021,1,2021,4,6,9,4329.0251170710935
4_2021,1,2021,4,7,11,4267.075351213282
4_2021,1,2021,4,7,11,4342.927203065134
4_2021,1,2021,4,7,11,4154.087696892295
4_2021,1,2021,4,7,11,4413.854406130268
4_2021,1,2021,4,8,7.5,4226.779054916986
4_2021,1,2021,4,8,8,4912.02043422733
4_2021,1,2021,4,8,8.5,4101.026819923371
4_2021,1,2021,4,8,8,4402.9765857811835
4_2021,1,2021,4,9,2.5,4421.404853128992
4_2021,1,2021,4,9,2.8,4334.814814814815
4_2021,1,2021,4,9,2.5,4474.469135802469
4_2021,1,2021,4,9,3,4528.619838229033
4_2021,1,2021,4,10,12,4273.103448275862
4_2021,1,2021,4,10,12,4194.901660280971
4_2021,1,2021,4,10,12,4158.3652618135375
4_2021,1,2021,4,10,12,4416.701575138356
4_2021,1,2021,4,11,7,4573.0166028097055
4_2021,1,2021,4,11,7,4205.312899106002
4_2021,1,2021,4,11,7.5,3783.438058748404
4_2021,1,2021,4,11,8,5003.095785440613
5_2021,2,2021,5,1,7.5,3995.0510855683274
5_2021,2,2021,5,1,5,3881.393678160919
5_2021,2,2021,5,1,4,3844.9233716475105
5_2021,2,2021,5,1,5,3758.620689655173
5_2021,2,2021,5,2,0,4383.987867177522
5_2021,2,2021,5,2,0,4064.3678160919535
5_2021,2,2021,5,2,0.5,4102.187100893998
5_2021,2,2021,5,2,0,4027.7298850574703
5_2021,2,2021,5,3,0,4386.853448275862
5_2021,2,2021,5,3,0,4296.599616858237
5_2021,2,2021,5,3,0,4809.6424010217115
5_2021,2,2021,5,3,0,4468.582375478927
5_2021,2,2021,5,4,0,4506.944444444444
5_2021,2,2021,5,4,0,4169.939335887612
