TRAT,LOCAL_YEAR,DFC,PROD,YEAR,CULTIVAR,yield_class,sev_class,region_class,altitude_class,altitude
1,4_2021,28,4208.081736909323,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
1,4_2021,28,4220.3763303533415,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
1,4_2021,29,4252.001702852277,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
1,4_2021,27,4433.079608343976,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
2,4_2021,12,4073.222647935292,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
2,4_2021,13,4295.921668795232,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
2,4_2021,13,4104.541507024266,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
2,4_2021,14,4405.026819923372,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
3,4_2021,9,4210.734780757769,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
3,4_2021,9.5,4515.402298850575,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
3,4_2021,9,4236.696466581524,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
3,4_2021,10,4318.3754789272025,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
4,4_2021,8,4586.911877394636,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
4,4_2021,8.5,4224.745849297573,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
4,4_2021,9,4017.232865048957,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
4,4_2021,8,4394.782460621541,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
5,4_2021,11,4512.967220093657,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
5,4_2021,10,4120.241805023414,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
5,4_2021,11,4237.094934014474,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
5,4_2021,10.5,4236.362707535121,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
6,4_2021,8.5,4162.213707960835,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
6,4_2021,9,4719.989782886334,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
6,4_2021,9.5,4127.073648361004,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
6,4_2021,9,4329.0251170710935,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
7,4_2021,11,4267.075351213282,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
7,4_2021,11,4342.927203065134,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
7,4_2021,11,4154.087696892295,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
7,4_2021,11,4413.854406130268,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
8,4_2021,7.5,4226.779054916986,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
8,4_2021,8,4912.02043422733,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
8,4_2021,8.5,4101.026819923371,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
8,4_2021,8,4402.9765857811835,2021,Msoy 8372 IPRO,>3745,<35,north,<635,344
